Pass,X,Y
/home/daiki/pytorch/box_marker/resize/train/box4.jpg,113,140
/home/daiki/pytorch/box_marker/resize/train/IMG_9076.jpg,113,100
/home/daiki/pytorch/box_marker/resize/train/IMG_9083.jpg,131,136
/home/daiki/pytorch/box_marker/resize/train/IMG_9090.jpg,118,112
/home/daiki/pytorch/box_marker/resize/train/IMG_9077.jpg,116,124
/home/daiki/pytorch/box_marker/resize/train/box24.jpg,111,81
/home/daiki/pytorch/box_marker/resize/train/box23.jpg,115,104
/home/daiki/pytorch/box_marker/resize/train/box14.jpg,116,127
/home/daiki/pytorch/box_marker/resize/train/IMG_9095.jpg,82,117
/home/daiki/pytorch/box_marker/resize/train/IMG_9099.jpg,118,122
/home/daiki/pytorch/box_marker/resize/train/box8.jpg,134,120
/home/daiki/pytorch/box_marker/resize/train/IMG_9081.jpg,123,112
/home/daiki/pytorch/box_marker/resize/train/box2.jpg,95,118
/home/daiki/pytorch/box_marker/resize/train/IMG_9093.jpg,84,114
/home/daiki/pytorch/box_marker/resize/train/IMG_9101.jpg,100,117
/home/daiki/pytorch/box_marker/resize/train/box20.jpg,117,112
/home/daiki/pytorch/box_marker/resize/train/box17.jpg,103,90
/home/daiki/pytorch/box_marker/resize/train/box15.jpg,143,127
/home/daiki/pytorch/box_marker/resize/train/IMG_9086.jpg,142,116
/home/daiki/pytorch/box_marker/resize/train/box1.jpg,103,122
/home/daiki/pytorch/box_marker/resize/train/box16.jpg,125,97
/home/daiki/pytorch/box_marker/resize/train/box18.jpg,97,105
/home/daiki/pytorch/box_marker/resize/train/box9.jpg,130,70
/home/daiki/pytorch/box_marker/resize/train/IMG_9094.jpg,89,106
/home/daiki/pytorch/box_marker/resize/train/box21.jpg,120,104
/home/daiki/pytorch/box_marker/resize/train/IMG_9079.jpg,107,99
/home/daiki/pytorch/box_marker/resize/train/box6.jpg,131,92
/home/daiki/pytorch/box_marker/resize/train/IMG_9080.jpg,100,120
/home/daiki/pytorch/box_marker/resize/train/box19.jpg,120,114
/home/daiki/pytorch/box_marker/resize/train/IMG_9100.jpg,106,124
/home/daiki/pytorch/box_marker/resize/train/IMG_9098.jpg,84,131
/home/daiki/pytorch/box_marker/resize/train/box22.jpg,94,121
/home/daiki/pytorch/box_marker/resize/train/box13.jpg,147,110
/home/daiki/pytorch/box_marker/resize/train/box5.jpg,92,140
/home/daiki/pytorch/box_marker/resize/train/IMG_9078.jpg,118,103
/home/daiki/pytorch/box_marker/resize/train/IMG_9082.jpg,116,110
/home/daiki/pytorch/box_marker/resize/train/IMG_9092.jpg,94,125
/home/daiki/pytorch/box_marker/resize/train/IMG_9087.jpg,99,155
/home/daiki/pytorch/box_marker/resize/train/box3.jpg,110,138
/home/daiki/pytorch/box_marker/resize/train/IMG_9096.jpg,100,114
